Autor ohne Grad,Autor mit Grad,Titel,Untertitel,Zeitschrift,Zeitschriftkürzel,Volume,Issue,Datum,Seitennummer,PDF vom Artikel (Druckversion) (Link),PDF vom Artikel (Digitalversion) (Link),DOI vom Artikel,Bildschirmansicht vom Artikel (Link),Abstract von der Gesamtausgabe (Bildschirmansicht) (Link),PDF_Gesamtausgabe_Link_Druck,Abstract vom Artikel,Rubrik,Gesamtausgabe (Bildschirmansicht) (Link),Land
Arenca Trashani,,United Nation’s peacekeeping operations as a tool for the application of the right to self-determination,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 9 No. 1 - March 2023,,,,https://iipccl.org/wp-content/uploads/2023/03/06.pdf,,,,,,,,,Österreich
"Aneta Çomo, Melpomeni Ziso",,"Laboratory testing of women in reproductive age for infection sifilis, through detection of IgG and IgM antibodies",,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 9 No. 1 - March 2023,,,,https://iipccl.org/wp-content/uploads/2023/03/07.pdf,,,,,,,,,Österreich
"Safet Emruli, Lirim Shabani",,The effects of the European integration on the constitutional system of the Republic of North Macedonia and the role of the Constitutional Court,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 9 No. 1 - March 2023,,,,https://iipccl.org/wp-content/uploads/2023/03/08.pdf,,,,,,,,,Österreich
Jonida Canaj,,Monitoring changes in antioxidants compounds in Olive oil related to ahead and after heat treatment and adding Vitamin E,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 9 No. 1 - March 2023,,,,https://iipccl.org/wp-content/uploads/2023/03/09.pdf,,,,,,,,,Österreich
Elira Kokona,,Criminal liability of commercial companies,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 9 No. 1 - March 2023,,,,https://iipccl.org/wp-content/uploads/2023/06/010-1.pdf,,,,,,,,,Österreich
"Fjorda Shqarri, Anita Jella",,"The Place and Role of International Law in the Albanian Legal System and Practice, the case of ECtHR decisions",,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 9 No. 1 - March 2023,,,,https://iipccl.org/wp-content/uploads/2023/06/011.pdf,,,,,,,,,Österreich
"Lena Hoffman, Endri Papajorgji, ,",,About the Journal,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No. 3 - November 2022,,,,https://iipccl.org/wp-content/uploads/2023/11/00.pdf,,,,,,,,,Österreich
Luan Hasneziri,,Insight into the legal concept of contract according to civil law and common law,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No. 3 - November 2022,,,,https://iipccl.org/wp-content/uploads/2022/11/01.pdf,,,,,,,,,Österreich
"Ingrida Behri, Lira Spiro",,"Mediation, a method that is taking off in Albania",,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No. 3 - November 2022,,,,https://iipccl.org/wp-content/uploads/2022/11/02.pdf,,,,,,,,,Österreich
Mai Viet Bach,,The Vietnamese Communist Party in today Vietnam,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No. 3 - November 2022,,,,https://iipccl.org/wp-content/uploads/2022/11/03.pdf,,,,,,,,,Österreich
"Mikena Karati, Endri Papajorgji",,Legal relation between legal subjects regulated according to the Civil Code of the Republic of Albania 1994,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No. 3 - November 2022,,,,https://iipccl.org/wp-content/uploads/2022/11/04.pdf,,,,,,,,,Österreich
Brikena Sulejmani Mocka,,"The role of government policies in the reorganization of the banking financial system, to balance the destabilizing effects post Covid-19",,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No. 3 - November 2022,,,,https://iipccl.org/wp-content/uploads/2022/11/05.pdf,,,,,,,,,Österreich
Yaser Salem Alqurashi,,The impact of administrative privileges on administrative jurisdiction independence in the Saudi law,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No. 3 - November 2022,,,,https://iipccl.org/wp-content/uploads/2022/11/06.pdf,,,,,,,,,Österreich
"Kouamé Kouakou Romaric, Kouassi Patrick Franklin, Kouakou Auguste Konan, Eugene Angbonon Kamala",,Market imperfection and health insurance contract compliance: incentive mechanisms,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No. 3 - November 2022,,,,https://iipccl.org/wp-content/uploads/2022/11/07.pdf,,,,,,,,,Österreich
Sandër Beci,,Albanian Commercial law towards EU,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No. 3 - November 2022,,,,https://iipccl.org/wp-content/uploads/2022/11/08.pdf,,,,,,,,,Österreich
Marsela Likaj,,Bertolt Brecht’s epic theater: Fostering critical thought and social transformation,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No. 3 - November 2022,,,,https://iipccl.org/wp-content/uploads/2023/11/09.pdf,,,,,,,,,Österreich
"Lena Hoffman, Endri Papajorgji, ,",,About the Journal,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No. 2 - July 2022,,,,https://iipccl.org/wp-content/uploads/2022/08/1-6.pdf,,,,,,,,,Österreich
"Eglantina Kraja Bardhi, Denis Celcima",,Autistic children and parental stress,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No. 2 - July 2022,,,,https://iipccl.org/wp-content/uploads/2022/07/01.pdf,,,,,,,,,Österreich
"Shpetim Zymberaj, Ilir Krusha",,Interactive Methods in Teaching Process,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No. 2 - July 2022,,,,https://iipccl.org/wp-content/uploads/2022/07/02.pdf,,,,,,,,,Österreich
"Iliriana Bajrami, Zemri Elezi",,Legal instruments of citizen participation in decision-making processes of the public administration in the Republic of Kosovo - Comparative aspects with countries in the region,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No. 2 - July 2022,,,,https://iipccl.org/wp-content/uploads/2022/07/03.pdf,,,,,,,,,Österreich
Arbona Xhemajli,,Advantages of interactive teaching in early school age,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No. 2 - July 2022,,,,https://iipccl.org/wp-content/uploads/2022/07/04.pdf,,,,,,,,,Österreich
Latif Krasniqi,,Cultural and heritage values as a potential for the development of the tourism in Peja -Republic of Kosovo,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No. 2 - July 2022,,,,https://iipccl.org/wp-content/uploads/2022/07/05.pdf,,,,,,,,,Österreich
Irena Alimerko,,Educational practices and the contribution of social and cultural approaches to the family,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No. 2 - July 2022,,,,https://iipccl.org/wp-content/uploads/2022/07/06.pdf,,,,,,,,,Österreich
Lumturije Mehmedi-Sinani,,“Employability and Higher Education Institutions’ graduates in North Macedonia”,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No. 2 - July 2022,,,,https://iipccl.org/wp-content/uploads/2022/07/07.pdf,,,,,,,,,Österreich
Shaban Sulejmani,,The family and its role as a “criminogenic factor” in the submission of juvenile delinquency,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No. 2 - July 2022,,,,https://iipccl.org/wp-content/uploads/2022/07/08.pdf,,,,,,,,,Österreich
Lulzim Vrapca,,Discourse of power and social subjectivism of Foucault,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No. 2 - July 2022,,,,https://iipccl.org/wp-content/uploads/2022/07/09.pdf,,,,,,,,,Österreich
Gresa Mjaku Krasniqi,,National audit office in Kosovo (NAO) vs Court of audit in Slovenia (CA) - who has the best performance?,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No. 2 - July 2022,,,,https://iipccl.org/wp-content/uploads/2022/08/99-113.pdf,,,,,,,,,Österreich
Luan Bekteshi,,Electronic commerce in Albania during the Covid-19 pandemic,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No. 2 - July 2022,,,,https://iipccl.org/wp-content/uploads/2022/08/114-112.pdf,,,,,,,,,Österreich
"Lena Hoffman, Endri Papajorgji, ,",,About the Journal,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No.1 - March 2022,,,,https://iipccl.org/wp-content/uploads/2022/03/00.pdf,,,,,,,,,Österreich
"Erida Pejo, Nadia Rusi,",,Democracy from the perspective of electoral systems: The case of Albania,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No.1 - March 2022,,,,https://iipccl.org/wp-content/uploads/2022/03/01.pdf,,,,,,,,,Österreich
"Imer Zenku, Marija Kotevska Dimovska,",,Professional selection in employment as a factor for economic benefit in conditions of energy crisis in the Republic of North Macedonia,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No.1 - March 2022,,,,https://iipccl.org/wp-content/uploads/2022/03/02.pdf,,,,,,,,,Österreich
Burim Berisha,,Project Planning and Control,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No.1 - March 2022,,,,https://iipccl.org/wp-content/uploads/2022/03/03.pdf,,,,,,,,,Österreich
"Eva Tafili, Lumnis Çela,",,The particularities of EU-Albania mutual relations and the continuing challenge of integration,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No.1 - March 2022,,,,https://iipccl.org/wp-content/uploads/2022/03/04.pdf,,,,,,,,,Österreich
Aidana Gjermeni Lumi,,On Freud’s philosophy and Erich Fromm’s view on him,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No.1 - March 2022,,,,https://iipccl.org/wp-content/uploads/2022/03/05.pdf,,,,,,,,,Österreich
Endri Papajorgji,,General Rules of the international arbitration,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No.1 - March 2022,,,,https://iipccl.org/wp-content/uploads/2022/03/06.pdf,,,,,,,,,Österreich
Kemail Shaqiri,,The historical role of the 1981 demonstrations in Kosovo,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No.1 - March 2022,,,,https://iipccl.org/wp-content/uploads/2022/03/07.pdf,,,,,,,,,Österreich
Burim Berisha,,"Management of operations in projects including planning, organization and control from the beginning to the end of implementation",,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No.1 - March 2022,,,,https://iipccl.org/wp-content/uploads/2022/03/08.pdf,,,,,,,,,Österreich
Florian Miti,,Civic involvement and service satisfaction for youth living in the administrative units of the Municipality of Vlora in Albania,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 8 No.1 - March 2022,,,,https://iipccl.org/wp-content/uploads/2022/03/09.pdf,,,,,,,,,Österreich
"Lena Hoffman, Endri Papajorgji, ,",,About the Journal,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 3 - November 2021,,,,https://iipccl.org/wp-content/uploads/2021/11/00-1.pdf,,,,,,,,,Österreich
Agron Beka,,Terrorism and fight against it,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 3 - November 2021,,,,https://iipccl.org/wp-content/uploads/2021/11/01.pdf,,,,,,,,,Österreich
"Enkelejda Kucaj, Marilda Osmani, Besim Kucaj,",,"Importance and use of thermal water in health, environmental and social aspect",,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 3 - November 2021,,,,https://iipccl.org/wp-content/uploads/2021/11/02.pdf,,,,,,,,,Österreich
"Ylvije Boriçi Kraja, Albana Begani Boriçi",,Enhancing employability skills valued by employers - Case of Albania,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 3 - November 2021,,,,https://iipccl.org/wp-content/uploads/2021/11/03.pdf,,,,,,,,,Österreich
Naim Tota,,Domestic violence Criminal-legal aspects of this phenomenon over the period 2013-2020,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 3 - November 2021,,,,https://iipccl.org/wp-content/uploads/2021/11/04-1.pdf,,,,,,,,,Österreich
Antoneta Hoxha,,Albanian political expatriates in the late 1920s and early 1930s of the XX century,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 3 - November 2021,,,,https://iipccl.org/wp-content/uploads/2021/11/05.pdf,,,,,,,,,Österreich
Ilda Taka,,Intravascular Catheters Management and related Infections (CRBSI),,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 3 - November 2021,,,,https://iipccl.org/wp-content/uploads/2021/11/06.pdf,,,,,,,,,Österreich
"Shpetim Zymberaj, Ilir Krusha",,Communication as an object of reflection of the contemporary world,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 3 - November 2021,,,,https://iipccl.org/wp-content/uploads/2021/11/07.pdf,,,,,,,,,Österreich
Agron Beka,,"Seizure of property earned with criminal offenses, namely unjustifiably in Kosovo",,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 3 - November 2021,,,,https://iipccl.org/wp-content/uploads/2021/11/09-1.pdf,,,,,,,,,Österreich
Erion Kabaj,,The female universe in Giovanni Boccaccio’s works,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 3 - November 2021,,,,https://iipccl.org/wp-content/uploads/2021/11/08.pdf,,,,,,,,,Österreich
Mirela Lazimi,,Cultural issues in the activity of Albanian league of Prizren,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 3 - November 2021,,,,https://iipccl.org/wp-content/uploads/2021/11/010.pdf,,,,,,,,,Österreich
Drita Bejtullahi,,Industrial Application of Inventions and the Patent Approval,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 3 - November 2021,,,,https://iipccl.org/wp-content/uploads/2021/11/011.pdf,,,,,,,,,Österreich
"Kouame Kouakou Romaric, Kouassi Patrick Franklin, Pandry Koffi Ghyslain",,Analysis of the viability of health insurance in Cote d’Ivoire: A theoretical and empirical study,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 3 - November 2021,,,,https://iipccl.org/wp-content/uploads/2021/11/012.pdf,,,,,,,,,Österreich
Fatbardha Amzaj,,Impact of extracurricular activities,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 3 - November 2021,,,,https://iipccl.org/wp-content/uploads/2021/11/013.pdf,,,,,,,,,Österreich
Agim Nuhiu,,Parental responsibility for damage caused by a minor child,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 3 - November 2021,,,,https://iipccl.org/wp-content/uploads/2021/11/014.pdf,,,,,,,,,Österreich
Brunilda Haxhimihali (Emini),,Legal regime of voluntary pension funds in Albania,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 3 - November 2021,,,,https://iipccl.org/wp-content/uploads/2021/11/015.pdf,,,,,,,,,Österreich
"Lena Hoffman, Endri Papajorgji, ,",,About the Journal,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2022/04/00-1.pdf,,,,,,,,,Österreich
Arbresh Raveni,,The transmission mechanism of fiscal policy in North Macedonia: a Bayesian VAR approach,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/01.pdf,,,,,,,,,Österreich
Evgjeni Bashari,,Development on the asset Declaration system and audit of the High Ranking Officials - Means of investigation and future challenges,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/02.pdf,,,,,,,,,Österreich
"Aneta Çomo, Anila Mitre, Melpomeni Zisoy",,Testing for Cytomegalovirus infection of women in reproductive age through detection of Anti-CMV antibodies CMV IgG and IgM,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/03.pdf,,,,,,,,,Österreich
"Tran Thi Thuy Ngoc, Nguyen The Vinh",,The philosophy of entering the world of Vietnam Buddhism in contemporary society,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/04.pdf,,,,,,,,,Österreich
Avenir Peka,,FDI in Albania: Rule of Law as a social Requisite for the development of a fair and not predatory market economy,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/05.pdf,,,,,,,,,Österreich
"Nadia Rusi, Ilda Melo (Kovaci)",,Do electoral laws affect women’s representation in parliament? The case of Albania,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/06.pdf,,,,,,,,,Österreich
Herida Duro,,"Albanian Theater works, as a value of the common Cultural heritage",,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/07.pdf,,,,,,,,,Österreich
Entela Kaleshi,,Sharing Experiences - Stories of culture and identity of Albanian migrants in Greece,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/08.pdf,,,,,,,,,Österreich
Nora Rrahimi Hasani,,Comparison of the use of different disinfection agents as antimicrobial preparations,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/09.pdf,,,,,,,,,Österreich
Klodjan Skenderaj,,Theoretical and practical aspects on the conditions for imposing precautionary measures according to the Code of Criminal Procedure of the Republic of Albania,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/010.pdf,,,,,,,,,Österreich
"Edit Bregu, Naim Mëçalla",,A retrospective look at the Balkan wars of 1912-1913,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/011.pdf,,,,,,,,,Österreich
Armira Kapxhiu,,"Harmonization, the processing and folk music citation in Albanian music works",,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/012.pdf,,,,,,,,,Österreich
Burim Berisha,,Long-term Auditor-client relationship and its effects on the audit quality,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/013.pdf,,,,,,,,,Österreich
Lealba Pelinku,,Money Laundering in Albania,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/014.pdf,,,,,,,,,Österreich
Natasha Poroçani,,Stylistics as a function of the connections of language with literature,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/015.pdf,,,,,,,,,Österreich
Risena Xhaja,,Novelties of the new legal framework on the indirect management of cultural heritage in Albania,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/016.pdf,,,,,,,,,Österreich
"Ilda Melo (Kovaci), Nadia Rusi",,Reforms on Collective Copyright Management System in Albania,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/017.pdf,,,,,,,,,Österreich
"Florenca Stafa, Dhurata Lamçja",,Long transition in Albania as a consequence of a communist heritage system,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/018.pdf,,,,,,,,,Österreich
Agron Beka,,Corruption in the field of Urbanism and turnover of Real Estate in Kosovo,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/019.pdf,,,,,,,,,Österreich
"Sherif Sejdiu, Fadil Osmani, Bahri Rexha",,Management of preventive measures and injuries in the workplace,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/020.pdf,,,,,,,,,Österreich
Elinda Guri,,"Red and Black alliance as a new movement, its establishment process and its topic representation as a nationalist movement",,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/021.pdf,,,,,,,,,Österreich
"Sherif Sejdiu, Fadil Osmani, Bahri Rexha",,"Covid-19 Crisis and impact on EC economy and tourism of Kosovo, February - May 2020",,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/022.pdf,,,,,,,,,Österreich
"Dorian Meta, Artan Pogoni",,Knee sanguine effusions in Sports Trauma (Haemarthrosis),,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/023.pdf,,,,,,,,,Österreich
Alban Dokushi,,"Discretion of the administrative body, and the Right of access to the Court",,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/024.pdf,,,,,,,,,Österreich
"Ermal Yzeiraj , Artemida Hoxhaj",,Establishing a new and unified Point of balance Towards narrowing the extended rights of the states on forensic DNA databases,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/025.pdf,,,,,,,,,Österreich
"Endri Papajorgji, Jonida Gjuzi Bushi",,Rules of General Jurisdiction in the USA,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/026.pdf,,,,,,,,,Österreich
Yllka Proda (Kënaçi),,The intertextual relationship of J. Xoxa’s novels with the Albanian literature tradition,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/027.pdf,,,,,,,,,Österreich
Agron Beka,,Combating Corruption in Kosovo,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2021/07/028.pdf,,,,,,,,,Österreich
Ermal Yzeiraj,,Artificial Intelligence and Human Rights,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 2 - July 2021,,,,https://iipccl.org/wp-content/uploads/2022/04/029.pdf,,,,,,,,,Österreich
"Lena Hoffman, Endri Papajorgji, ,",,About the Journal,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/06/1-8.pdf,,,,,,,,,Österreich
Ismail Tafani,,"The role of the President of the Republic in the formation of the government and the appointment of ministers, two states the same situation? A comparison between Albania and Italy",,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/9-22.pdf,,,,,,,,,Österreich
Donjeta Zejnullahu Pllana,,The Economic Impact Analysis of Advertising in the Republic of Kosovo,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/23-35.pdf,,,,,,,,,Österreich
Andi Përmeti,,Reorganization of the prosecutor's office according to the constitutional changes in the Republic of Albania,,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Vol. 7 No. 1 - March 2021,,,,https://iipccl.org/wp-content/uploads/2021/03/36-48.pdf,,,,,,,,,Österreich
