Titel,Zeitschrift,Zeitschriftkürzel,Land
Discourse of power and social subjectivism of Foucault,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
National audit office in Kosovo (NAO) vs Court of audit in Slovenia (CA) - who has the best performance?,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Electronic commerce in Albania during the Covid-19 pandemic,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
About the Journal,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Democracy from the perspective of electoral systems: The case of Albania,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Professional selection in employment as a factor for economic benefit in conditions of energy crisis in the Republic of North Macedonia,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Project Planning and Control,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The particularities of EU-Albania mutual relations and the continuing challenge of integration,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
On Freud’s philosophy and Erich Fromm’s view on him,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
General Rules of the international arbitration,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The historical role of the 1981 demonstrations in Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"Management of operations in projects including planning, organization and control from the beginning to the end of implementation","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Civic involvement and service satisfaction for youth living in the administrative units of the Municipality of Vlora in Albania,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
About the Journal,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Terrorism and fight against it,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"Importance and use of thermal water in health, environmental and social aspect","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Enhancing employability skills valued by employers - Case of Albania,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Domestic violence Criminal-legal aspects of this phenomenon over the period 2013-2020,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Albanian political expatriates in the late 1920s and early 1930s of the XX century,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Intravascular Catheters Management and related Infections (CRBSI),"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Communication as an object of reflection of the contemporary world,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"Seizure of property earned with criminal offenses, namely unjustifiably in Kosovo","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The female universe in Giovanni Boccaccio’s works,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Cultural issues in the activity of Albanian league of Prizren,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Industrial Application of Inventions and the Patent Approval,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Analysis of the viability of health insurance in Cote d’Ivoire: A theoretical and empirical study,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Impact of extracurricular activities,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Parental responsibility for damage caused by a minor child,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Legal regime of voluntary pension funds in Albania,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
About the Journal,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The transmission mechanism of fiscal policy in North Macedonia: a Bayesian VAR approach,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Development on the asset Declaration system and audit of the High Ranking Officials - Means of investigation and future challenges,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Testing for Cytomegalovirus infection of women in reproductive age through detection of Anti-CMV antibodies CMV IgG and IgM,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The philosophy of entering the world of Vietnam Buddhism in contemporary society,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
FDI in Albania: Rule of Law as a social Requisite for the development of a fair and not predatory market economy,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Do electoral laws affect women’s representation in parliament? The case of Albania,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"Albanian Theater works, as a value of the common Cultural heritage","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Sharing Experiences - Stories of culture and identity of Albanian migrants in Greece,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Comparison of the use of different disinfection agents as antimicrobial preparations,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Theoretical and practical aspects on the conditions for imposing precautionary measures according to the Code of Criminal Procedure of the Republic of Albania,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
A retrospective look at the Balkan wars of 1912-1913,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"Harmonization, the processing and folk music citation in Albanian music works","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Long-term Auditor-client relationship and its effects on the audit quality,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Money Laundering in Albania,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Stylistics as a function of the connections of language with literature,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Novelties of the new legal framework on the indirect management of cultural heritage in Albania,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Reforms on Collective Copyright Management System in Albania,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Long transition in Albania as a consequence of a communist heritage system,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Corruption in the field of Urbanism and turnover of Real Estate in Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Management of preventive measures and injuries in the workplace,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"Red and Black alliance as a new movement, its establishment process and its topic representation as a nationalist movement","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"Covid-19 Crisis and impact on EC economy and tourism of Kosovo, February - May 2020","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Knee sanguine effusions in Sports Trauma (Haemarthrosis),"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"Discretion of the administrative body, and the Right of access to the Court","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Establishing a new and unified Point of balance Towards narrowing the extended rights of the states on forensic DNA databases,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Rules of General Jurisdiction in the USA,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The intertextual relationship of J. Xoxa’s novels with the Albanian literature tradition,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Combating Corruption in Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Artificial Intelligence and Human Rights,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
About the Journal,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"The role of the President of the Republic in the formation of the government and the appointment of ministers, two states the same situation? A comparison between Albania and Italy","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The Economic Impact Analysis of Advertising in the Republic of Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Reorganization of the prosecutor's office according to the constitutional changes in the Republic of Albania,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Management Plan for a successful qualitative Census implementation,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The Effectiveness of Improving Non-Oil Saudi Export Through Ma’aden Aluminum Company,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The effects of active labor market policies in Kosovo on employment growth,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Monetary policies and banking development in Albania during 2020 and onwards,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Exploring the impact of VAT reduction for good and services consumption expenditures,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"The Relationship between Speech and Language in Children's Performance in Writing, Reading and Mathematical Arithmetic","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Reforming United Nations: The scandal of Oil-for-Food corruption,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Macroeconomic elements on the developments of the Albanian economy during 2020 and onwards,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
How do violent video games affect the behavior of children and young adolescent in Albania?,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The impact of financial inclusion on economic growth in Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Comparative analysis of conditions for granting and losing Albanian citizenship,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Concealment of Beneficiary Owner and Financial Institutions,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Public Procurement in Albania in 14 years,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Inheritance invoking bases,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"Anatomy of the vegetative organs of the species Salvia officinalis L in the population of Dibra, Albania","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Limitation of criminal prosecution and execution of sentence,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Preferential vote in the Constitution and Unconstitutionality of its application by the Electoral Code in Albania,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"The “Functional Zone” model in local government reform in Albania, how the criteria were implemented","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Social and cultural norms that support violence,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Criminal Income and Judicial Confiscation in Albania,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"Italian integration process, a difficult challenge for Italy","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The development of primary education in the city of Elbasan from 1920 to 1924,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Entrepreneurship and firm growth in transition - The Case of Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Obtaining the argumentative text in advertising discourse,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Sexual harassment in the workplace,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Economic developments in Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Supremacy of the European Union law over national law of the member states,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
About the Journal,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Impact of Public Debt on the Economy in the Republic of Kosovo - Empirical Evidence,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Real Exchange Rate and Foreign Trade Relationship: The Case of Hungary,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Development of Administrative Capacity and Regional Policy EU funds for touristic sector in post crisis,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Examining corporate social responsibility of multinational corporations: The validity of international guidelines,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The Impact of Leadership Styles on Motivating Corporate Employees in Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The sanitation of autochthonous grapevine cultivars (Kallmet and Vlosh) from viral infections using in vitro techniques,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The right to Defense Counsel and its implementation according to the Criminal Procedure Code of Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Vertical jump to female & male volleyball players in Albania,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Grounds for setting aside award under Kosovo Arbitration Law in comparative perspective,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"Municipal performance, territorial reform and development during the gaps in Albanian businesses - An overview of ADP principles and financial management","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Blake and the diversity of influences over his poetry,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Psychosocial Factor in the Education of the Individual,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
An introduction to Hamlet’s problem,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Meaning and legal effect of Remission under Kosovo Arbitration Law in comparative perspective,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Servitudes and types of property (real) servitudes by legislation in Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Achievements and challenges about re-evaluation process of judges and prosecutors in the Republic of Albania,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Incentive Issues Underlying the Budget Process in Albania,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Basic concepts of quality and standards,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Travel agencies - Touristic activities,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
About the Journal,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The Importance of corporate culture in transformative programs,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Social factors that lead women and men to suicide,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Execution of final court decisions as part of a fair trial,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"Direct marketing, presence on social networks of hotel enterprises in Kosovo","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
BREXIT: Contemplating the European Union integration in terms of democracy after the first withdrawal from the Union,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Enforcement of court decisions which are the exclusive competence of the courts in the Republic of Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Paternal responsibility in the Albanian judicial practice,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Amendments in criminal legislation - Cause of the global pandemic,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
What is lost and gained in translation,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Contractual freedom in contract law,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Fighting corruption by justice authorities in Prizren,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Goods evaluation in contest of the customs revenues,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Characteristics of the financial system of Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Legal Inheritance ranks according to the Law on Inheritance in Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The most mentioned factors influencing proper inefficiency in higher education of medical sciences,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Public administration reform-challenge of states in transition - The case of Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"The civil service – recruitment procedures, reforms and challenges of the states in transition – The case of Kosovo","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The call of the text,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
About the Journal,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Family and private life according to ECHR jurisdiction,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The role of linguistic devices in political discourse,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Realisation of pledge’s rights in executive procedure in the Republic of Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Background to Auditing and Role of Auditor,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
How the engine dynamic characteristics affect the blow-by gasses,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Petrographic and Mineralogical Synthesis of Sedimentary Rocks of External Zones in Albania,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Theory about factoring service,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Strategic Analysis of BMW Group,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Magic elements from Kim Mehmeti’s prose,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The Problem of Equivalence in the Translation of Proverbs from Albanian to English Language and vice versa,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Modern Populism in Albania,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Albanian-Yugoslav Relations in the International Optics,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Functioning of mental health patient in Vlora: perceptions of mental health professionals,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Law & Economy,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Contemporary methods increase the efficiency of learning and social values in students and future generations,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The significance of the presence and the role of the Serbian intelligence service in northern Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The impact of export and foreign direct investment in the growth of GDP in Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Challenges for establishing digital distance learning platform: e-learning,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Law Enforcement on Time to Doing Business and Economic Welfare,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Re-Evaluation process of judges and prosecutors in the Republic of Albania,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Dassonville and Cassis de Dijon – as the basic jurisprudence of the free movement of goods,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
About the Journal,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
A critical Analysis of the Reprivatization process in practice and Privatization of Apartments in Macedonia – Part 2,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Legal protection of factual relationship: is marriage necessary to create a family?,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Expectations of results and values in students,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Assessment of IPARD pre-accession program support through IPARD-like program,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Mobile data communication,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The Supremacy of International Agreements on the Legislation in Force,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Modeling Informal economy in the Republic of Macedonia,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The right to family life in the context of respecting the minor’s best interest principle,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"Onomastics, studies and researchers (Historical overview, Mirdita)","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The orthodox community of Elbasan and the status of Autocephalous church issues,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Planning human resources in enterprises – organization,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"Determination of Alpha-Protein, Carcino-embryonic antigen and c-reactive protein in patients with malignant liver pathology","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
About the Journal,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Disruptive Innovation and Course of Policy over Online Transportation in Indonesia towards Fair Business Competition,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
A critical Analysis of the Reprivatization process in Macedonia in practice – Part 1,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Discourse on Legality of LGBT from the Perspective of Islamic Law and Indonesian Law,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Integrating Students with Specific Learning Difficulties as part of Inclusive Education,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The Inheritance Pact,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Analyzing Macedonian employees work motivation using The Herzberg’s motivation-hygiene theory,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Structure of public debt in the Western Balkan Countries,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Internet addiction and adolescent’s school achievements,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Historical background of consumer rights development in the EU,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Consumer buying behavior towards online shopping: the case of Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"“Odin Mondvalsen”, a dystopia","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Oratory or Eloquence,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Lan Khai – Who opened the way to the world of the forest in modern Vietnamese literature,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
About the Journal,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Confidentiality in Mediation,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Analysis of Union Citizenship under Article 18 TFEU based on ECJ Decisions,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The Administrative-Territorial Reform in Albania,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Examination of Major Factors Affecting Exchange Rate in Albania and its Influence on Inflation and Real Economy,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Theoretical research on the history of text linguistics,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Opportunities for economic development based on tourism potentials in Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Development of critical thinking and creativity at student age,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Coming back home? Albanian migrants intentions to return,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Managing the quality of higher education and its impact on economic development - Kosovo case,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Ethical and Legal Implications of Human Cloning,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Credit risk management and nonperforming loans in commercial banks in Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
The Historical and Political Context of State Formation and State-Building Process in Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Political Leadership in Governance,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Cyber war and Terrorism in Kosovo,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
History of the criminal accusation process,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Supremacy and direct effect of EC law - Position of the constitutional court,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
Prosecutor’s career,"Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
"Public access to the Parliament of Albania, an overview","Academic Journal of Business, Administration, Law and Social Sciences",Ajbals,Österreich
